location,date,year,lat_deg,lat_min,lon_deg,lon_min,mean_depth_m,strata,tl_cm,sl_cm,wt_g,sex,maturity,swimbladder_length_cm,new_date
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,48,39,1230,F,III,18,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,34.5,28.3,450,F,II,12,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,39.2,32,650,F,II,14,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,37,30.8,500,F,II,12.5,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,25,21,106,F,II,9.6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,30.7,25.3,340,F,II,10,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,36.5,30,490,F,II,12,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,32.2,26.5,350,F,II,10,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,35.5,29.3,500,F,II,12,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,29.1,24.2,250,M,II,10,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,41.6,34,800,M,III,15,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,34.8,28.2,440,M,II,12,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,38,31.3,650,M,II,13,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,45.5,37,1050,M,III,16,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,40.5,33.5,860,M,IV,14,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,18.5,15.1,85,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,21,17.3,115,NA,I,7,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,18.2,15,75,NA,I,5.5,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,23,18.9,150,NA,I,8.2,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,17,14.2,60,NA,I,5,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,20.5,17.1,105,NA,I,7,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,20.5,16.8,105,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,17,13.8,60,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,18.2,15.1,80,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,18,14,75,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,20.8,17.4,105,NA,I,7,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,18.8,15.1,85,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,22,18,140,NA,I,6.5,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,16.5,13.4,55,NA,I,5,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,17.8,14.5,65,NA,I,6,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,9.5,8,10,NA,I,2,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,7.2,5.7,5,NA,I,1,11/1/2021
Maisome Channel,2015-11-02T00:00:00Z,2015,2,22.558,31,59.878,18.2,Emin Pasha Gulf,16,13.2,45,NA,I,5,11/1/2021
